NumThreads	NumeroMaximo	StartTime	ElapsedTime	MeanUtilization 
1       90000   1678553384823   31836   0.43775148848908907

10      90000   1678553547641   13392   0.9981108994718009

11      90000   1678553561444   12547   0.9976796572487604

12      90000   1678553574427   13070   0.9982737277584628

13      90000   1678553587874   12722   0.9953897656620955

14      90000   1678553600964   12476   0.9979788429682581

15      90000   1678553613854   12467   0.9974485520401909

16      90000   1678553626679   12683   0.9964662409170604

17      90000   1678553639698   12548   0.9966263092772644

18      90000   1678553652788   12198   0.997349108729668

19      90000   1678553665389   12226   0.9976126444772181

2       90000   1678553416980   20901   0.7304559294792509

20      90000   1678553678027   12365   0.9954331950629924

21      90000   1678553690722   12215   0.9975629555331245

22      90000   1678553703244   11817   0.9963545923426796

23      90000   1678553715373   11859   0.9937217034803072

24      90000   1678553727664   11863   0.9974620341701296

25      90000   1678553739920   11474   0.9991690288260926

26      90000   1678553751793   11914   0.9960532307727705

27      90000   1678553764156   11939   0.9959319845542571

28      90000   1678553776462   11876   0.9977149921079885

29      90000   1678553788796   12992   0.9969617807234734

3       90000   1678553438201   16421   0.878318522907385

30      90000   1678553802236   11921   0.9965528352908958

31      90000   1678553814587   12262   0.9971320059265316

32      90000   1678553827327   11521   0.9978890051832426

33      90000   1678553839220   10285   0.9996677299308878

34      90000   1678553850161   9749    0.9996536436686062

35      90000   1678553860264   9527    0.9996499748419418

36      90000   1678553870115   10543   0.9970365533478076

37      90000   1678553881080   10118   0.9983368831988833

38      90000   1678553891568   9925    0.9992778881138251

39      90000   1678553901957   11450   0.9990511311949015

4       90000   1678553454924   15741   0.9976362491297031

40      90000   1678553913981   10999   0.9950951518597341

41      90000   1678553925385   11094   0.9965817579555308

42      90000   1678553936923   10977   0.9965433392548348

43      90000   1678553948327   10570   0.9965333487561694

44      90000   1678553959399   10608   0.9996411429596734

45      90000   1678553970374   10311   0.9970549187691972

46      90000   1678553981055   11026   0.9980972961381792

47      90000   1678553992768   11813   0.9964706023893546

48      90000   1678554005277   11711   0.9950228674112229

49      90000   1678554017402   10934   0.9977836542026906

5       90000   1678553471000   15882   0.9964052366376835

50      90000   1678554028776   11020   0.9979068672241159

6       90000   1678553487185   15520   0.9971757731796804

7       90000   1678553503004   14639   0.9987369533850432

8       90000   1678553518098   14681   0.9962628446971505

9       90000   1678553533185   14020   0.9950618746488368

1       90000   1678553384823   31836   0.43775148848908907

10      90000   1678553547641   13392   0.9981108994718009

11      90000   1678553561444   12547   0.9976796572487604

12      90000   1678553574427   13070   0.9982737277584628

13      90000   1678553587874   12722   0.9953897656620955

14      90000   1678553600964   12476   0.9979788429682581

15      90000   1678553613854   12467   0.9974485520401909

16      90000   1678553626679   12683   0.9964662409170604

17      90000   1678553639698   12548   0.9966263092772644

18      90000   1678553652788   12198   0.997349108729668

19      90000   1678553665389   12226   0.9976126444772181

2       90000   1678553416980   20901   0.7304559294792509

20      90000   1678553678027   12365   0.9954331950629924

21      90000   1678553690722   12215   0.9975629555331245

22      90000   1678553703244   11817   0.9963545923426796

23      90000   1678553715373   11859   0.9937217034803072

24      90000   1678553727664   11863   0.9974620341701296

25      90000   1678553739920   11474   0.9991690288260926

26      90000   1678553751793   11914   0.9960532307727705

27      90000   1678553764156   11939   0.9959319845542571

28      90000   1678553776462   11876   0.9977149921079885

29      90000   1678553788796   12992   0.9969617807234734

3       90000   1678553438201   16421   0.878318522907385

30      90000   1678553802236   11921   0.9965528352908958

31      90000   1678553814587   12262   0.9971320059265316

32      90000   1678553827327   11521   0.9978890051832426

33      90000   1678553839220   10285   0.9996677299308878

34      90000   1678553850161   9749    0.9996536436686062

35      90000   1678553860264   9527    0.9996499748419418

36      90000   1678553870115   10543   0.9970365533478076

37      90000   1678553881080   10118   0.9983368831988833

38      90000   1678553891568   9925    0.9992778881138251

39      90000   1678553901957   11450   0.9990511311949015

4       90000   1678553454924   15741   0.9976362491297031

40      90000   1678553913981   10999   0.9950951518597341

41      90000   1678553925385   11094   0.9965817579555308

42      90000   1678553936923   10977   0.9965433392548348

43      90000   1678553948327   10570   0.9965333487561694

44      90000   1678553959399   10608   0.9996411429596734

45      90000   1678553970374   10311   0.9970549187691972

46      90000   1678553981055   11026   0.9980972961381792

47      90000   1678553992768   11813   0.9964706023893546

48      90000   1678554005277   11711   0.9950228674112229

49      90000   1678554017402   10934   0.9977836542026906

5       90000   1678553471000   15882   0.9964052366376835

50      90000   1678554028776   11020   0.9979068672241159

6       90000   1678553487185   15520   0.9971757731796804

7       90000   1678553503004   14639   0.9987369533850432

8       90000   1678553518098   14681   0.9962628446971505

9       90000   1678553533185   14020   0.9950618746488368


